,Count,Live Cells | Count,Live Cells/Single Cells | Count,Live Cells/Single Cells/Single Cells | Count,Live Cells/Single Cells/Single Cells/Lymphocytes | Count,Live Cells/Single Cells/Single Cells/Lymphocytes/CD3 | Count,Live Cells/Single Cells/Single Cells/Lymphocytes/CD3/CD4+ | Count,Live Cells/Single Cells/Single Cells/Lymphocytes/CD3/CD4+/CD69+ | Count,Live Cells/Single Cells/Single Cells/Lymphocytes/CD3/CD8+ | Count,Live Cells/Single Cells/Single Cells/Lymphocytes/CD3/CD8+/CD69+ | Count,
"Compensation Controls_R 670,2f,30 Stained Control_013.fcs",5000,,,,,,,,,,
"Compensation Controls_YG 582,2f,15 Stained Control_011.fcs",5000,,,,,,,,,,
"Compensation Controls_V 450,2f,50 Stained Control_009.fcs",5000,,,,,,,,,,
"Compensation Controls_YG 780,2f,60 Stained Control_012.fcs",5000,,,,,,,,,,
"Compensation Controls_V 525,2f,50 Stained Control_010.fcs",10000,,,,,,,,,,
PBMC_n_AntiCD3-stim 1_006.fcs,2138,846,791,749,452,452,266,0,46.0,0,
PBMC_n_AntiCD3-stim 2_007.fcs,10000,4044,2037,1808,916,915,415,3.00,98.0,1.00,
PBMC_n_AntiCD3-stim 3_008.fcs,5029,1654,138,97.0,29.0,29.0,7.00,0,1.00,1.00,
Mean,5896,,,,,,,,,,
SD,2720,,,,,,,,,,
