,Count,Live Cells | Count,Live Cells/Single Cells | Count,Live Cells/Single Cells/Single Cells | Count,Live Cells/Single Cells/Single Cells/Lymphocytes | Count,Live Cells/Single Cells/Single Cells/Lymphocytes/CD3 | Count,Live Cells/Single Cells/Single Cells/Lymphocytes/CD3/CD4+ | Count,Live Cells/Single Cells/Single Cells/Lymphocytes/CD3/CD4+/CD69+ | Count,Live Cells/Single Cells/Single Cells/Lymphocytes/CD3/CD8+ | Count,Live Cells/Single Cells/Single Cells/Lymphocytes/CD3/CD8+/CD69+ | Count,
"Compensation Controls_V 450,2f,50 Stained Control_017.fcs",5000,,,,,,,,,,
"Compensation Controls_YG 582,2f,15 Stained Control_019.fcs",5000,,,,,,,,,,
"Compensation Controls_R 670,2f,30 Stained Control_021.fcs",5000,,,,,,,,,,
"Compensation Controls_YG 780,2f,60 Stained Control_020.fcs",5000,,,,,,,,,,
"Compensation Controls_V 525,2f,50 Stained Control_018.fcs",10000,,,,,,,,,,
PBMC_AZ_AntiCD3-stim 1_009.fcs,8538,2515,2298,2120,1825,1825,811,53.0,634,21.0,
PBMC_AZ_AntiCD3-stim 2_010.fcs,10000,1511,1194,1021,803,803,352,40.0,248,20.0,
PBMC_AZ_AntiCD3-stim 3_011.fcs,10000,3267,2689,2341,1918,1918,824,59.0,646,19.0,
PBMC_AZ_PHA-stim 1_006.fcs,10000,7672,971,477,129,129,32.0,2.00,62.0,5.00,
PBMC_AZ_PHA-stim 2_007.fcs,10000,7768,1007,431,135,135,30.0,5.00,67.0,6.00,
PBMC_AZ_PHA-stim 3_008.fcs,10000,6869,1074,602,189,189,48.0,5.00,80.0,7.00,
Mean,8049,,,,,,,,,,
SD,2455,,,,,,,,,,
"Compensation Controls_R 670,2f,30 Stained Control_013.fcs",5000,,,,,,,,,,
"Compensation Controls_YG 582,2f,15 Stained Control_011.fcs",5000,,,,,,,,,,
"Compensation Controls_V 450,2f,50 Stained Control_009.fcs",5000,,,,,,,,,,
"Compensation Controls_YG 780,2f,60 Stained Control_012.fcs",5000,,,,,,,,,,
"Compensation Controls_V 525,2f,50 Stained Control_010.fcs",10000,,,,,,,,,,
PBMC_n_AntiCD3-stim 1_006.fcs,2138,846,791,749,452,452,266,0,46.0,0,
PBMC_n_AntiCD3-stim 2_007.fcs,10000,4044,2037,1808,916,915,415,3.00,98.0,1.00,
PBMC_n_AntiCD3-stim 3_008.fcs,5029,1654,138,97.0,29.0,29.0,7.00,0,1.00,1.00,
Mean,5896,,,,,,,,,,
SD,2720,,,,,,,,,,
"Compensation Controls_R 670,2f,30 Stained Control_020.fcs",5000,,,,,,,,,,
"Compensation Controls_YG 582,2f,15 Stained Control_018.fcs",5000,,,,,,,,,,
"Compensation Controls_V 450,2f,50 Stained Control_016.fcs",5000,,,,,,,,,,
"Compensation Controls_V 525,2f,50 Stained Control_017.fcs",9886,,,,,,,,,,
"Compensation Controls_YG 780,2f,60 Stained Control_019.fcs",10000,,,,,,,,,,
PBMC_control_KC_AntiCD3-stim 1_006.fcs,4188,1165,1066,1009,681,681,276,86.0,201,14.0,
PBMC_control_KC_AntiCD3-stim 2_007.fcs,6359,2255,2128,2064,1536,1536,775,232,446,59.0,
PBMC_control_KC_SMX-stim 1_008.fcs,7072,3441,3233,3165,2465,2465,1403,0,741,0,
PBMC_control_KC_SMX-stim 2_009.fcs,8041,4759,4436,4342,3407,3407,1768,1.00,865,0,
PBMC_control_KC_SMX-stim 3_010.fcs,7732,3964,3714,3621,2740,2740,1457,1.00,759,0,
PBMC_pt_AntiCD3-stim 1_001.fcs,7005,4509,4301,4072,3117,3113,1725,203,654,37.0,
PBMC_pt_AntiCD3-stim 2_002.fcs,3876,2481,2376,2276,1840,1836,956,123,365,29.0,
PBMC_pt_SMX-stim 1_003.fcs,7897,5088,4602,4486,3956,3947,2488,0,694,1.00,
PBMC_pt_SMX-stim 2_004.fcs,4875,2686,2417,2323,1864,1856,1087,1.00,377,0,
PBMC_pt_SMX-stim 3_005.fcs,1250,447,352,317,183,182,46.0,1.00,23.0,0,
Mean,6212,,,,,,,,,,
SD,2362,,,,,,,,,,
